daytime,timeSP,filename,state,sSQL,aSQL,missSQL
2020-06-18 16:09:00,0.04,web1,success,0,2,-2
2020-06-30 17:22:59,23.14,web1,success,0,99,-99
2020-06-30 17:25:58,48.07,web1,success,0,99,-99
2020-06-30 17:34:50,52.06,web1,success,0,99,-99
2020-06-30 17:37:15,23.86,web1,fail,0,99,-99
2020-06-30 17:38:55,40.93,web1,success,0,99,-99
2020-06-30 17:40:27,52.89,web1,success,0,99,-99
2020-06-30 17:43:49,45.51,web1,success,0,99,-99
2020-06-30 17:48:59,39.18,web1,success,0,99,-99
2020-06-30 17:59:12,49.28,web1,success,0,99,-99
2020-06-30 18:00:38,59.92,web1,success,0,99,-99
2020-06-30 18:04:19,64.57,web1,success,0,99,-99
2020-06-30 18:06:44,88.65,web1,success,0,99,-99
2020-06-30 18:11:56,51.06,web1,success,0,99,-99
2020-06-30 18:23:46,52.09,web1,success,0,99,-99
2020-06-30 23:45:37,5096.74,web2,success,0,99,-99
2020-07-04 12:10:34,7.84,web1,fail,0,99,-99
2020-07-04 12:11:50,5.20,web1,fail,0,99,-99
2020-07-04 12:14:14,5.04,web1,fail,0,99,-99
2020-07-04 12:14:47,9.68,web1,fail,0,99,-99
2020-07-04 12:22:57,10.95,web1,fail,0,99,-99
2020-07-04 12:30:36,8.09,web1,fail,0,99,-99
2020-07-04 12:33:31,11.89,web1,fail,0,99,-99
2020-07-04 12:39:07,10.88,web1,fail,0,99,-99
2020-07-04 13:04:05,7.69,web1,fail,0,99,-99
2020-07-04 13:06:38,7.94,web1,fail,0,99,-99
2020-07-04 13:08:27,8.75,web1,fail,0,99,-99
2020-07-04 13:53:51,7.76,web1,fail,0,99,-99
2020-07-04 13:56:47,7.19,web1,fail,0,99,-99
2020-07-04 13:59:09,6.53,web1,fail,0,99,-99
2020-07-04 14:01:02,6.52,web1,fail,0,99,-99
2020-07-04 14:03:36,6.75,web1,fail,0,99,-99
2020-07-04 14:05:03,6.95,web1,fail,0,99,-99
2020-07-04 14:08:10,7.40,web1,fail,0,99,-99
2020-07-04 14:26:36,9.30,web1,fail,0,99,-99
2020-07-04 14:39:11,8.92,web1,fail,0,99,-99
2020-07-04 14:40:26,6.42,web1,success,0,99,-99
2020-07-04 14:44:06,6.89,web1,success,0,99,-99
2020-07-04 14:56:12,33.25,web1,success,44,44,0
2020-07-06 16:48:07,5058.65,web2,success,0,99,-99
2020-07-07 22:20:28,103.86,web2,success,0,99,-99
2020-07-07 22:33:00,5080.24,web2,success,0,99,-99
2020-07-08 16:34:07,34.81,web1,success,0,99,-99
2020-07-08 16:37:29,38.40,web1,success,44,44,0
2020-07-09 01:34:54,4912.29,web2,success,0,99,-99
2020-07-10 10:23:27,36.52,datamonitor,success,44,44,0
2020-07-19 17:45:28,57.08,web1,success,0,99,-99
2020-07-20 11:35:07,3.83,newweb1wash,fail,0,99,-99
2020-07-20 11:37:45,50.78,newweb1wash,success,0,99,-99
2020-07-20 11:40:23,53.20,newweb1wash,success,44,44,0
2020-07-20 12:18:05,0.02,newweb1wash,success,0,99,-99
2020-07-20 12:18:19,0.02,newweb1wash,success,0,99,-99
2020-07-20 12:19:09,0.01,newweb1wash,success,0,99,-99
2020-07-20 12:19:13,0.01,newweb1wash,success,0,99,-99
2020-07-20 12:21:56,0.05,newweb1wash,success,0,99,-99
2020-07-20 12:36:35,55.40,newweb1wash,success,44,44,0
2020-07-20 15:30:10,0.04,newweb1wash,success,0,99,-99
2020-07-20 15:30:32,0.03,newweb1wash,success,0,99,-99
2020-07-20 15:44:12,0.04,newweb1wash,success,0,99,-99
2020-07-20 15:45:27,0.04,newweb1wash,success,0,99,-99
2020-07-20 15:45:56,0.03,newweb1wash,success,0,99,-99
2020-07-20 15:47:00,0.04,newweb1wash,success,0,99,-99
2020-07-20 15:47:20,0.07,newweb1wash,success,0,99,-99
2020-07-20 15:47:52,0.03,newweb1wash,success,0,99,-99
2020-07-20 16:02:11,0.04,newweb1wash,success,0,99,-99
2020-07-20 16:02:43,0.04,newweb1wash,success,0,99,-99
2020-07-20 16:11:42,0.04,newweb1wash,success,0,99,-99
2020-07-20 16:16:01,0.04,newweb1wash,success,0,99,-99
2020-07-20 16:16:59,0.03,newweb1wash,success,0,99,-99
2020-07-20 16:17:15,0.04,newweb1wash,success,0,99,-99
2020-07-20 16:17:49,0.04,newweb1wash,success,0,99,-99
2020-07-20 16:19:49,0.03,newweb1wash,success,0,99,-99
2020-07-20 16:20:11,0.03,newweb1wash,success,0,99,-99
2020-07-20 16:21:42,0.01,newweb1wash,fail,0,99,-99
2020-07-20 16:23:04,0.02,newweb1wash,fail,0,99,-99
2020-07-20 16:23:39,0.03,newweb1wash,success,0,99,-99
2020-07-20 16:31:42,0.02,newweb1wash,fail,0,99,-99
2020-07-20 16:31:59,0.84,newweb1wash,fail,0,99,-99
2020-07-20 16:33:49,0.04,newweb1wash,success,0,99,-99
2020-07-20 16:35:03,0.02,newweb1wash,fail,0,99,-99
2020-07-20 16:40:57,0.02,newweb1wash,fail,0,99,-99
2020-07-20 16:41:35,0.04,newweb1wash,success,0,99,-99
2020-07-20 16:44:09,0.04,newweb1wash,success,0,99,-99
2020-07-20 16:51:51,0.03,newweb1wash,success,0,99,-99
2020-07-20 16:52:18,0.03,newweb1wash,success,0,99,-99
2020-07-20 16:54:45,0.08,newweb1wash,success,0,99,-99
2020-07-20 17:00:46,0.04,newweb1wash,success,0,99,-99
2020-07-20 17:01:24,0.03,newweb1wash,success,0,99,-99
2020-07-20 17:03:49,0.04,newweb1wash,success,0,99,-99
2020-07-20 17:04:20,0.04,newweb1wash,success,0,99,-99
2020-07-20 17:06:53,0.03,newweb1wash,success,0,99,-99
2020-07-20 17:13:57,0.04,newweb1wash,success,0,99,-99
2020-07-20 17:15:43,0.10,newweb1wash,success,0,99,-99
2020-07-20 17:17:18,0.03,newweb1wash,fail,0,99,-99
2020-07-20 17:17:59,0.03,newweb1wash,fail,0,99,-99
2020-07-20 17:19:39,0.03,newweb1wash,fail,0,99,-99
2020-07-20 17:21:27,0.04,newweb1wash,success,0,99,-99
2020-07-20 17:24:12,0.04,newweb1wash,success,0,99,-99
2020-07-20 17:38:17,0.05,newweb1wash,success,0,99,-99
2020-07-20 17:39:27,0.03,newweb1wash,success,0,99,-99
2020-07-20 17:42:06,0.10,newweb1wash,success,0,99,-99
2020-07-20 17:42:55,0.04,newweb1wash,success,0,99,-99
2020-07-20 17:43:22,0.03,newweb1wash,success,0,99,-99
2020-07-20 17:43:52,0.02,newweb1wash,fail,0,99,-99
2020-07-20 17:46:21,0.02,newweb1wash,fail,0,99,-99
2020-07-20 17:46:53,0.03,newweb1wash,success,0,99,-99
2020-07-20 17:47:12,0.03,newweb1wash,success,0,99,-99
2020-07-20 17:47:44,0.03,newweb1wash,success,0,99,-99
2020-07-20 17:58:23,0.04,newweb1wash,success,0,99,-99
2020-07-20 17:58:40,0.03,newweb1wash,success,0,99,-99
2020-07-20 17:59:05,0.03,newweb1wash,success,0,99,-99
2020-07-20 18:02:39,0.04,newweb1wash,success,0,99,-99
2020-07-20 18:02:59,0.05,newweb1wash,success,0,99,-99
2020-07-20 18:03:50,0.04,newweb1wash,success,0,99,-99
2020-07-20 18:04:30,0.04,newweb1wash,success,0,99,-99
2020-07-20 18:08:15,0.04,newweb1wash,success,0,99,-99
2020-07-20 18:09:10,0.05,newweb1wash,success,0,99,-99
2020-07-20 18:10:16,0.04,newweb1wash,success,0,99,-99
2020-07-20 18:12:11,0.04,newweb1wash,success,0,99,-99
2020-07-20 18:17:01,0.04,newweb1wash,success,0,99,-99
2020-07-20 18:30:44,0.04,newweb1wash,success,0,99,-99
2020-07-20 18:30:57,0.09,newweb1wash,success,0,99,-99
2020-07-20 20:52:27,0.08,newweb1wash,fail,0,99,-99
2020-07-20 20:54:58,0.06,newweb1wash,fail,0,99,-99
2020-07-20 20:55:45,0.01,newweb1wash,fail,0,99,-99
2020-07-20 20:56:18,0.02,newweb1wash,fail,0,99,-99
2020-07-20 20:56:52,0.01,newweb1wash,fail,0,99,-99
2020-07-20 20:57:55,0.08,newweb1wash,success,0,99,-99
2020-07-20 20:59:05,0.03,newweb1wash,success,0,99,-99
2020-07-20 20:59:52,0.04,newweb1wash,success,0,99,-99
2020-07-20 21:02:40,0.08,newweb1wash,success,0,99,-99
2020-07-20 21:04:12,0.03,newweb1wash,success,0,99,-99
2020-07-20 21:26:03,0.04,newweb1wash,success,0,99,-99
2020-07-20 21:26:44,0.07,newweb1wash,success,0,99,-99
2020-07-20 21:29:59,0.10,newweb1wash,success,44,0,44
2020-07-20 21:35:54,0.11,newweb1wash,success,44,0,44
2020-07-20 21:38:33,0.08,newweb1wash,success,44,44,0
2020-07-20 21:40:12,0.07,newweb1wash,success,44,44,0
2020-07-20 21:43:02,0.08,newweb1wash,success,44,44,0
2020-07-20 21:44:21,0.08,newweb1wash,success,44,44,0
2020-07-20 21:46:57,0.07,newweb1wash,success,44,44,0
2020-07-20 21:49:03,0.08,newweb1wash,success,44,44,0
2020-07-20 22:23:45,4914.81,newweb2,success,29,29,0
2020-07-21 23:21:50,0.16,web1wash,fail,44,44,0
2020-07-22 00:19:51,0.21,web1wash,success,44,44,0
2020-07-22 00:25:58,0.09,web1wash,success,44,44,0
2020-07-22 00:26:59,0.09,web1wash,success,44,44,0
2020-07-22 00:30:49,0.09,web1wash,success,44,44,0
2020-07-22 00:33:07,0.09,web1wash,success,44,44,0
2020-07-22 00:37:27,0.09,web1wash,success,44,44,0
2020-07-22 00:39:57,0.10,web1wash,success,44,44,0
2020-07-22 00:41:10,0.08,web1wash,success,44,0,44
2020-07-22 00:41:33,0.14,web1wash,success,44,44,0
2020-07-22 09:11:06,0.09,newweb2wash,fail,0,99,-99
2020-07-22 09:13:17,0.04,newweb2wash,fail,0,99,-99
2020-07-22 09:17:17,0.04,newweb2wash,fail,0,99,-99
2020-07-22 09:22:39,0.08,newweb2wash,fail,0,99,-99
2020-07-22 09:30:12,0.06,newweb2wash,success,0,99,-99
2020-07-22 09:30:39,0.03,newweb2wash,fail,0,99,-99
2020-07-22 17:21:18,0.08,newweb2wash,fail,0,99,-99
2020-07-22 17:21:58,0.01,newweb2wash,fail,0,99,-99
2020-07-22 17:23:39,0.10,newweb2wash,fail,0,99,-99
2020-07-22 17:26:25,0.07,newweb2wash,success,0,99,-99
2020-07-24 15:07:30,27.24,web1wash,success,44,0,44
2020-07-24 15:09:25,26.13,web1wash,success,44,176,-132
2020-07-24 15:12:47,28.08,web1wash,success,44,176,-132
2020-07-24 21:30:49,278.93,web2wash,success,0,99,-99
2020-07-24 21:36:14,180.41,web2wash,fail,0,99,-99
2020-07-24 21:39:25,16.31,web2wash,fail,0,99,-99
2020-07-24 21:40:29,280.00,web2wash,success,29,29,0
2020-07-24 21:50:00,27.19,web1wash,success,176,176,0
2020-07-24 23:05:10,11.15,web1wash,fail,0,99,-99
2020-07-24 23:05:44,27.86,web1wash,success,176,176,0
2020-07-25 11:57:04,278.87,web2wash,success,29,29,0
2020-07-25 12:26:07,277.23,web2wash,success,29,29,0
2020-07-25 14:51:44,5.74,newweb3,fail,0,99,-99
2020-07-25 14:52:39,5.21,newweb3,fail,0,99,-99
2020-07-25 14:53:34,5.60,newweb3,fail,0,99,-99
2020-07-25 15:39:27,3.84,newweb3,fail,0,99,-99
2020-07-25 16:23:23,0.02,newweb3,fail,0,99,-99
2020-07-25 16:23:35,933.97,newweb3,success,15261,15261,0
2020-07-25 16:42:26,697.86,newweb3,success,15261,15261,0
2020-07-27 11:19:57,0.45,web3wash,fail,0,99,-99
2020-07-27 11:22:24,5.13,web3wash,success,15261,15261,0
2020-07-27 11:24:28,5.38,web3wash,success,15261,15261,0
2020-07-27 11:33:45,4.13,web3wash,success,15261,15261,0
2020-07-27 11:36:18,5.44,web3wash,success,15261,15261,0
2020-07-27 11:38:43,5.25,web3wash,success,15261,15261,0
2020-07-27 11:43:00,3.49,web3wash,fail,15261,15261,0
2020-07-27 11:44:37,2.89,web3wash,fail,15261,15261,0
2020-07-27 11:51:34,2.96,web3wash,fail,15261,15261,0
2020-07-27 11:55:58,3.46,web3wash,fail,0,99,-99
2020-07-27 12:00:10,2.93,web3wash,fail,0,99,-99
2020-07-27 12:02:25,2.81,web3wash,fail,0,99,-99
2020-07-27 12:04:40,4.05,web3wash,success,15261,15261,0
2020-09-02 09:43:14,658.47,newweb2,fail,28,29,-1
2020-09-02 09:59:24,39.79,newweb2,fail,28,29,-1
2020-09-02 10:00:29,656.83,newweb2,fail,28,29,-1
2020-09-02 10:28:33,1052.03,newweb2,fail,28,29,-1
2020-09-02 10:53:17,1479.38,newweb2,fail,28,29,-1
2020-09-02 11:25:28,4768.89,newweb2,success,28,28,0
