donum,errnum,codenum
16,1,2
1,1,xxxxxxxx
1,1,50
1,1,50
1,1,50
1,1,50
1,1,50
1,1,50
1,1,50
1,1,50
1,1,50
1,1,50
1,1,50
1,1,50
1,1,50
1,1,50
1,1,50
1,1,50
1,1,50
1,1,50
1,1,50
1,1,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,1,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,1,50
1,1,50
1,0,50
1,1,50
1,1,50
1,0,50
1,1,50
1,1,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,1,50
1,1,50
1,1,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,1,50
1,1,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,1,50
1,1,50
1,1,50
1,1,50
1,1,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,1,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,1,50
1,1,50
1,1,50
1,1,50
1,0,50
1,1,50
1,1,50
1,1,50
1,1,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,1,50
1,1,50
1,0,50
1,0,50
1,1,50
1,0,50
1,0,50
1,0,50
1,1,50
1,1,50
1,1,50
1,1,50
1,1,50
1,0,50
1,0,50
1,1,50
1,0,50
1,0,50
1,0,50
1,0,50
1,0,50
1,1,50
1,1,50
1,1,50
1,1,50
1,1,50
1,1,50
1,0,50
1,1,50
1,1,50
1,1,50
1,1,50
1,1,50
1,0,50
